,0,CARDINAL,DATE,GPE,LOC,MONEY,NORP,ORG,PERSON,WORK_OF_ART,ORDINAL,QUANTITY,TIME,FAC,LAW,PRODUCT,EVENT,PERCENT,LANGUAGE
0,,4.0,5.0,57.0,3.0,1.0,1.0,8.0,6.0,2.0,,,,,,,,,
0,,3.0,6.0,1.0,1.0,,,4.0,3.0,,1.0,1.0,1.0,,,,,,
0,,7.0,12.0,17.0,,,3.0,17.0,19.0,1.0,4.0,,10.0,,,,,,
0,,6.0,11.0,22.0,11.0,,12.0,29.0,34.0,7.0,5.0,,,2.0,1.0,,,,
0,,11.0,10.0,6.0,2.0,2.0,2.0,8.0,9.0,1.0,1.0,2.0,1.0,1.0,,,,,
0,,11.0,16.0,22.0,1.0,,19.0,39.0,49.0,,1.0,,,,2.0,3.0,,,
0,,4.0,9.0,6.0,,1.0,9.0,34.0,38.0,,6.0,,,1.0,1.0,1.0,1.0,,
0,,7.0,13.0,13.0,,7.0,7.0,17.0,22.0,1.0,3.0,,1.0,2.0,,,,,
0,,9.0,15.0,36.0,,,22.0,45.0,46.0,,2.0,1.0,2.0,,,2.0,,2.0,
0,,4.0,5.0,23.0,,2.0,5.0,49.0,21.0,,2.0,,,3.0,,,,,
0,,2.0,3.0,5.0,,,,4.0,8.0,,,,,,,,,,
0,,7.0,16.0,19.0,4.0,,5.0,13.0,23.0,1.0,4.0,,3.0,,,,,,
0,,2.0,18.0,34.0,1.0,,10.0,18.0,31.0,,,,,,,,2.0,,
0,,,5.0,4.0,,,,18.0,10.0,,1.0,,1.0,1.0,1.0,,1.0,,
0,,5.0,17.0,4.0,1.0,3.0,,18.0,4.0,,2.0,,,1.0,,1.0,,,
0,,3.0,10.0,3.0,,4.0,,13.0,8.0,,8.0,1.0,1.0,,1.0,,1.0,,
0,,4.0,6.0,9.0,,1.0,4.0,38.0,3.0,,,,,,,,,1.0,
0,,3.0,17.0,10.0,1.0,,11.0,9.0,13.0,,3.0,,,,,,,,
0,,5.0,12.0,14.0,1.0,3.0,,2.0,19.0,,1.0,,,,,,,,
0,,2.0,14.0,5.0,,3.0,2.0,18.0,15.0,,,,,,,,,3.0,
0,,7.0,7.0,5.0,1.0,3.0,,33.0,8.0,,,,,,,,,,
0,,2.0,9.0,7.0,,3.0,4.0,13.0,27.0,,1.0,,,1.0,,1.0,,,
0,,2.0,14.0,6.0,,,3.0,13.0,13.0,1.0,1.0,,,,,,,,
0,,2.0,4.0,1.0,1.0,,2.0,3.0,9.0,2.0,2.0,,,,,,,,1.0
0,,1.0,6.0,21.0,1.0,,2.0,14.0,10.0,1.0,,,,1.0,,,,1.0,
0,,9.0,18.0,33.0,3.0,8.0,5.0,50.0,13.0,,1.0,1.0,,,,,,1.0,
0,,8.0,9.0,26.0,,,11.0,19.0,39.0,1.0,,,,,,2.0,,,
0,,23.0,24.0,14.0,1.0,5.0,9.0,33.0,68.0,11.0,2.0,,16.0,3.0,,1.0,2.0,,
0,,4.0,6.0,9.0,,2.0,4.0,8.0,13.0,2.0,1.0,,3.0,,,,,,
0,,4.0,8.0,3.0,,1.0,4.0,5.0,20.0,,1.0,,,1.0,,1.0,,,
0,,2.0,17.0,19.0,1.0,,10.0,25.0,23.0,1.0,3.0,,3.0,1.0,,,1.0,,1.0
0,,12.0,12.0,20.0,,,13.0,21.0,57.0,,2.0,,,1.0,,3.0,,,
0,,,2.0,5.0,,,,1.0,7.0,,,,3.0,3.0,,,,,
0,,3.0,3.0,,,1.0,,2.0,3.0,,,,1.0,1.0,,1.0,,,
0,,2.0,20.0,6.0,,7.0,3.0,11.0,3.0,,1.0,,1.0,,,,1.0,,
0,,2.0,11.0,14.0,,,4.0,19.0,9.0,1.0,1.0,,2.0,,,,,1.0,
0,,2.0,8.0,5.0,,,,,4.0,,,,,1.0,,,,,
0,,2.0,20.0,2.0,,,,25.0,22.0,,3.0,,,,,,,,
0,,5.0,1.0,,,,1.0,5.0,6.0,4.0,1.0,,,,,1.0,1.0,,
0,,2.0,26.0,12.0,,5.0,1.0,18.0,9.0,,3.0,,,1.0,,,,,
0,,4.0,23.0,7.0,,1.0,,40.0,24.0,,1.0,,,,,,,,
0,,3.0,15.0,27.0,,,,21.0,21.0,,3.0,,3.0,1.0,,,,,
0,,11.0,14.0,19.0,,9.0,12.0,31.0,46.0,,3.0,,,,,2.0,,2.0,
0,,4.0,8.0,8.0,1.0,7.0,3.0,16.0,3.0,,3.0,,,,,,,,
0,,12.0,15.0,32.0,,2.0,13.0,18.0,46.0,1.0,3.0,,1.0,1.0,2.0,2.0,,1.0,
0,,4.0,6.0,19.0,,,10.0,10.0,39.0,,,,,1.0,,2.0,,,
0,,5.0,8.0,12.0,3.0,,3.0,30.0,27.0,,4.0,11.0,5.0,,1.0,1.0,,,
0,,8.0,22.0,15.0,,2.0,2.0,26.0,27.0,1.0,4.0,1.0,1.0,1.0,,,,,
0,,8.0,13.0,14.0,1.0,,11.0,13.0,33.0,2.0,3.0,,1.0,,,,,2.0,
0,,2.0,9.0,9.0,,2.0,,3.0,7.0,,,,,,,,,1.0,
0,,6.0,14.0,3.0,1.0,,5.0,20.0,40.0,2.0,3.0,,3.0,1.0,,,1.0,,
0,,6.0,14.0,23.0,,,15.0,24.0,67.0,,5.0,,,1.0,,3.0,,,
0,,17.0,6.0,10.0,1.0,,24.0,15.0,6.0,,1.0,,,1.0,3.0,,,4.0,
0,,1.0,2.0,10.0,,,1.0,6.0,6.0,,,,,,,,,,
0,,23.0,17.0,52.0,3.0,1.0,24.0,33.0,99.0,3.0,1.0,,,,,1.0,,,4.0
0,,15.0,3.0,13.0,,,5.0,35.0,19.0,2.0,,,,,,,,1.0,
