article_id,is_propaganda,afiin_score
727600136,non-propaganda,1.0
731714618,non-propaganda,2.0
731714635,non-propaganda,-16.0
728627182,non-propaganda,-26.0
728627443,non-propaganda,-22.0
732126660,non-propaganda,-13.0
728144791,non-propaganda,-33.0
728605281,non-propaganda,28.0
731383701,non-propaganda,9.0
734075146,non-propaganda,59.0
730014413,non-propaganda,-30.0
731000618,non-propaganda,-56.0
734267317,non-propaganda,-1.0
734268392,non-propaganda,19.0
732544725,non-propaganda,22.0
732544983,non-propaganda,12.0
733933352,non-propaganda,89.0
729599944,non-propaganda,15.0
729092528,non-propaganda,-52.0
729092995,non-propaganda,12.0
729093525,non-propaganda,-22.0
732605196,non-propaganda,33.0
732605617,non-propaganda,-7.0
729829440,non-propaganda,-8.0
728544641,non-propaganda,33.0
729313115,non-propaganda,50.0
733130852,non-propaganda,-11.0
733131088,non-propaganda,60.0
732789288,non-propaganda,-8.0
729194501,non-propaganda,-37.0
729195206,non-propaganda,44.0
732876866,non-propaganda,-30.0
732877299,non-propaganda,-4.0
727401277,non-propaganda,-14.0
727401280,non-propaganda,12.0
731892877,non-propaganda,-4.0
730313084,non-propaganda,-19.0
734454717,non-propaganda,10.0
730807048,non-propaganda,72.0
730326238,non-propaganda,-24.0
727614353,non-propaganda,-35.0
727614690,non-propaganda,2.0
728450315,non-propaganda,7.0
728452184,non-propaganda,-29.0
733031055,non-propaganda,-48.0
730933409,non-propaganda,-4.0
728031855,non-propaganda,-47.0
728031922,non-propaganda,63.0
728032463,non-propaganda,19.0
728023797,non-propaganda,-9.0
729348016,non-propaganda,-49.0
729349139,non-propaganda,-28.0
729349811,non-propaganda,45.0
731448353,non-propaganda,-1.0
728245145,non-propaganda,102.0
728247090,non-propaganda,11.0
732547988,non-propaganda,21.0
731706103,non-propaganda,-4.0
734386684,non-propaganda,28.0
727380230,non-propaganda,-4.0
730852004,non-propaganda,-1.0
731193184,non-propaganda,9.0
731194815,non-propaganda,-17.0
732743768,non-propaganda,-78.0
733631188,non-propaganda,39.0
730084542,non-propaganda,28.0
730172697,non-propaganda,3.0
730174163,non-propaganda,8.0
734169115,non-propaganda,47.0
731944929,non-propaganda,-17.0
731132302,non-propaganda,-8.0
731133876,non-propaganda,28.0
733251204,non-propaganda,-42.0
730941770,non-propaganda,-23.0
730683295,non-propaganda,-10.0
730684811,non-propaganda,3.0
730685030,non-propaganda,31.0
730685341,non-propaganda,-31.0
730606076,non-propaganda,23.0
730728223,non-propaganda,3.0
730728365,non-propaganda,27.0
730729142,non-propaganda,-47.0
733624378,non-propaganda,-24.0
733624630,non-propaganda,-16.0
732412474,non-propaganda,-49.0
732412861,non-propaganda,12.0
734087429,non-propaganda,4.0
734087993,non-propaganda,62.0
734087995,non-propaganda,25.0
728288507,non-propaganda,-45.0
733818548,non-propaganda,64.0
731186082,non-propaganda,0.0
730320498,non-propaganda,8.0
731393351,non-propaganda,-46.0
728060292,non-propaganda,-18.0
728763915,non-propaganda,-3.0
728764041,non-propaganda,-23.0
730120068,non-propaganda,65.0
732593580,non-propaganda,31.0
728951282,non-propaganda,-42.0
728951445,non-propaganda,-100.0
728952028,non-propaganda,32.0
733362142,non-propaganda,-1.0
733362521,non-propaganda,-44.0
733362723,non-propaganda,25.0
732480957,non-propaganda,14.0
727210126,non-propaganda,-8.0
728398580,non-propaganda,-3.0
729797486,non-propaganda,54.0
727457568,non-propaganda,-29.0
727457613,non-propaganda,-63.0
727459134,non-propaganda,-21.0
727459567,non-propaganda,18.0
733761677,non-propaganda,8.0
731299200,non-propaganda,-44.0
731299476,non-propaganda,-13.0
732446338,non-propaganda,-78.0
734489804,non-propaganda,-5.0
734490312,non-propaganda,-35.0
730971486,non-propaganda,7.0
730972785,non-propaganda,-17.0
733398374,non-propaganda,22.0
732067520,non-propaganda,4.0
731688480,non-propaganda,6.0
733538052,non-propaganda,-87.0
733538069,non-propaganda,-9.0
733538102,non-propaganda,-19.0
733479075,non-propaganda,0.0
729243884,non-propaganda,32.0
732424010,non-propaganda,-12.0
730097254,non-propaganda,35.0
730776263,non-propaganda,-6.0
732820390,non-propaganda,9.0
